position,player,team,age,prob,last_finish,depth_rank,gates_scored_on,gates_cleared,gates_total,leaper_markers,leaper_total,tier,base_rate,missing
TE,Elijah Higgins,ARI,25.8,0.034,48,3.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Terrance Ferguson,LA,23.5,0.034,52,3.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Michael Mayer,LV,25.2,0.033,38,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Tommy Tremble,CAR,26.2,0.027,42,1.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Noah Gray,KC,27.3,0.026,59,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Mitchell Evans,CAR,23.3,0.026,54,3.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Daniel Bellinger,NYG,25.9,0.025,46,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Jeremy Ruckert,NYJ,26.1,0.024,56,3.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Nick Vannett,TEN,33.5,0.023,46,4.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Davis Allen,LA,25.6,0.022,43,5.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Luke Schoonmaker,DAL,27.9,0.02,70,3.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Luke Musgrave,GB,26.0,0.017,53,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Josh Oliver,MIN,29.4,0.015,49,2.0,2024,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Julian Hill,MIA,26.1,0.013,65,6.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Will Dissly,LAC,30.1,0.011,75,,2024,1,4,3.0,5,E - profile does not support it,0.1297,WOPR (weighted opportunity); Red-zone target share; Snap share
TE,Adam Trautman,DEN,29.6,0.011,57,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
TE,Brock Wright,DET,27.8,0.011,61,2.0,2025,0,4,0.0,5,E - profile does not support it,0.1297,"WOPR (weighted opportunity); Red-zone target share; Yards per route (est., shrunk); Snap share"
