season,seat,points,place
2016,2,1405.3000000000002,10
2016,3,1687.7799999999997,5
2016,4,1803.22,3
2016,5,1727.54,4
2016,6,1646.78,6
2016,7,1617.7000000000003,7
2016,8,1408.5800000000002,9
2016,9,2141.04,1
2016,10,1852.86,2
2016,1,1870.58,3
2016,2,1646.8199999999997,5
2016,3,1968.14,2
2016,4,1431.16,9
2016,5,1331.22,10
2016,6,1582.2599999999998,7
2016,7,1770.0199999999998,4
2016,8,2126.28,1
2016,9,1524.6799999999998,8
2016,10,1628.6999999999998,6
2016,1,1410.4199999999998,10
2016,2,1686.2400000000002,6
2016,3,1454.46,9
2016,4,1770.7200000000003,4
2016,5,1829.02,3
2016,6,1679.48,7
2016,7,1705.48,5
2016,8,1933.6999999999998,2
2016,9,1490.9,8
2016,10,2013.08,1
2016,1,1782.42,5
2016,2,1735.36,6
2016,3,1785.98,4
2016,4,1592.68,7
2016,5,1249.3799999999999,10
2016,6,1940.52,1
2016,7,1932.3200000000002,2
2016,8,1515.2599999999998,8
2016,9,1828.0800000000002,3
2016,10,1501.3,9
2016,1,1450.84,9
2016,2,1753.18,4
2016,3,1930.2799999999997,1
2016,4,1761.92,3
2016,5,1619.12,8
2016,6,1701.38,6
2016,7,1637.38,7
2016,8,1843.6399999999999,2
2016,9,1730.8000000000002,5
2016,10,1364.92,10
2016,1,1618.0,7
2016,2,1586.28,8
2016,3,1645.6,6
2016,4,1560.42,9
2016,5,2040.58,1
2016,6,1505.54,10
2016,7,1742.6600000000003,4
2016,8,1721.8200000000002,5
2016,9,1849.5200000000002,2
2016,10,1758.66,3
2016,1,1609.5,7
2016,2,1593.4799999999998,8
2016,3,1639.92,6
2016,4,1467.08,10
2016,5,1773.92,4
2016,6,1481.0,9
2016,7,1884.1599999999999,2
2016,8,1890.98,1
2016,9,1719.9199999999998,5
2016,10,1837.1399999999999,3
2016,1,1542.1999999999998,7
2016,2,1475.7199999999998,10
2016,3,1933.44,1
2016,4,1812.68,2
2016,5,1774.7200000000003,4
2016,6,1521.6799999999998,9
2016,7,1528.56,8
2016,8,1789.92,3
2016,9,1721.62,6
2016,10,1771.6599999999999,5
2016,1,1940.42,2
2016,2,1541.2800000000002,7
2016,3,1681.6799999999998,4
2016,4,1627.3000000000002,6
2016,5,1511.08,8
2016,6,1657.4399999999998,5
2016,7,2137.82,1
2016,8,1442.4,9
2016,9,1722.3199999999997,3
2016,10,1345.8600000000001,10
2016,1,1747.94,3
2016,2,2127.82,1
2016,3,1739.1,5
2016,4,1609.82,7
2016,5,1407.48,10
2016,6,1541.7,8
2016,7,1877.52,2
2016,8,1747.2399999999998,4
2016,9,1439.0800000000002,9
2016,10,1653.6599999999999,6
2016,1,1929.3799999999999,1
2016,2,1588.44,7
2016,3,1793.94,2
2016,4,1514.3600000000001,8
2016,5,1791.6200000000003,3
2016,6,1625.78,6
2016,7,1769.42,4
2016,8,1505.1,9
2016,9,1421.9,10
2016,10,1758.2199999999998,5
2016,1,1548.72,8
2016,2,1512.7999999999997,10
2016,3,1965.8,1
2016,4,1620.62,6
2016,5,1530.16,9
2016,6,1878.38,2
2016,7,1656.7199999999998,5
2016,8,1693.6399999999999,4
2016,9,1742.6799999999998,3
2016,10,1561.08,7
2016,1,1676.28,6
2016,2,1719.1799999999998,3
2016,3,1540.6200000000001,10
2016,4,1697.1999999999998,4
2016,5,1575.9399999999998,8
2016,6,2019.2800000000002,1
2016,7,1552.32,9
2016,8,1628.3600000000001,7
2016,9,1695.3200000000002,5
2016,10,1873.88,2
2016,1,1582.1200000000003,8
2016,2,1844.6,2
2016,3,1729.7400000000002,6
2016,4,1968.8799999999999,1
2016,5,1488.78,9
2016,6,1798.2200000000003,4
2016,7,1820.62,3
2016,8,1670.2,7
2016,9,1768.6799999999998,5
2016,10,1342.6799999999998,10
2016,1,1525.12,9
2016,2,1509.02,10
2016,3,1532.3000000000002,8
2016,4,1577.6,6
2016,5,1714.28,5
2016,6,1801.7,3
2016,7,1755.8400000000001,4
2016,8,1852.52,2
2016,9,2023.6799999999998,1
2016,10,1558.3600000000001,7
2016,1,1629.6399999999999,7
2016,2,1638.7199999999998,6
2016,3,1639.12,5
2016,4,1510.9200000000003,9
2016,5,1603.06,8
2016,6,2005.0,1
2016,7,1691.48,3
2016,8,1691.0,4
2016,9,1478.1799999999998,10
2016,10,1988.82,2
2016,1,1816.98,3
2016,2,1931.96,2
2016,3,1679.62,6
2016,4,1714.08,4
2016,5,1620.16,8
2016,6,1466.7399999999998,10
2016,7,1685.7200000000003,5
2016,8,1663.48,7
2016,9,2061.52,1
2016,10,1481.8000000000002,9
2016,1,1588.5600000000002,7
2016,2,1917.6599999999999,3
2016,3,1682.2199999999998,6
2016,4,1464.56,9
2016,5,1446.58,10
2016,6,2011.8799999999999,1
2016,7,1795.98,5
2016,8,1467.4399999999998,8
2016,9,1807.8200000000002,4
2016,10,1949.06,2
2016,1,1228.16,10
2016,2,1679.62,5
2016,3,2084.8,1
2016,4,1987.62,2
2016,5,1616.98,8
2016,6,1682.7800000000002,4
2016,7,1653.4,6
2016,8,1800.52,3
2016,9,1603.3799999999999,9
2016,10,1631.38,7
2016,1,1449.56,10
2016,2,1876.12,1
2016,3,1485.68,9
2016,4,1599.2000000000003,6
2016,5,1560.66,8
2016,6,1868.32,2
2016,7,1853.08,3
2016,8,1763.62,4
2016,9,1725.18,5
2016,10,1593.04,7
2016,1,1695.86,7
2016,2,1155.3000000000002,10
2016,3,1766.7,4
2016,4,1567.2599999999998,9
2016,5,1764.42,5
2016,6,1771.1200000000001,3
2016,7,1828.6200000000001,1
2016,8,1661.6800000000003,8
2016,9,1740.1999999999998,6
2016,10,1806.46,2
2016,1,1867.3200000000002,2
2016,2,1735.12,4
2016,3,1699.56,5
2016,4,1938.06,1
2016,5,1663.7799999999997,7
2016,6,1576.6,9
2016,7,1785.0200000000002,3
2016,8,1605.0399999999997,8
2016,9,1411.8000000000002,10
2016,10,1672.28,6
2016,1,1911.7600000000002,2
2016,2,1382.02,10
2016,3,1633.56,6
2016,4,1569.04,8
2016,5,1533.28,9
2016,6,1682.96,5
2016,7,1973.0799999999997,1
2016,8,1891.52,4
2016,9,1894.9199999999998,3
2016,10,1577.18,7
2016,1,1575.64,9
2016,2,1648.8200000000002,8
2016,3,1674.3600000000001,6
2016,4,1722.8199999999997,4
2016,5,1787.56,3
2016,6,1837.46,2
2016,7,1707.2199999999998,5
2016,8,1528.98,10
2016,9,1653.5799999999997,7
2016,10,1914.3799999999999,1
2016,1,1643.1,6
2016,2,1814.02,3
2016,3,1779.8200000000002,4
2016,4,1544.1000000000001,8
2016,5,1573.9799999999998,7
2016,6,1847.1799999999998,2
2016,7,1755.3400000000001,5
2016,8,1479.78,9
2016,9,1899.6200000000001,1
2016,10,1466.1599999999999,10
2016,1,1835.32,3
2016,2,1760.62,5
2016,3,1453.1,9
2016,4,1800.78,4
2016,5,1628.96,6
2016,6,1559.3200000000002,8
2016,7,1362.36,10
2016,8,1920.8600000000001,2
2016,9,2000.8000000000002,1
2016,10,1627.4799999999998,7
2016,1,1317.46,10
2016,2,1477.52,8
2016,3,1675.06,6
2016,4,1766.72,4
2016,5,1374.3,9
2016,6,1714.46,5
2016,7,1873.3799999999999,1
2016,8,1561.64,7
2016,9,1867.8200000000002,2
2016,10,1793.5,3
2016,1,1669.32,6
2016,2,1741.38,3
2016,3,1436.22,10
2016,4,1696.5600000000002,5
2016,5,1659.1000000000001,7
2016,6,1632.48,8
2016,7,1774.04,2
2016,8,1719.34,4
2016,9,1587.56,9
2016,10,1960.8200000000002,1
2016,1,1518.38,9
2016,2,1840.44,2
2016,3,1455.2000000000003,10
2016,4,1721.42,3
2016,5,1531.36,7
2016,6,1986.48,1
2016,7,1691.22,5
2016,8,1694.62,4
2016,9,1536.7,6
2016,10,1528.9,8
2016,1,1626.54,7
2016,2,1379.16,10
2016,3,1552.74,9
2016,4,1554.62,8
2016,5,1695.18,4
2016,6,1682.1799999999998,5
2016,7,1766.6799999999998,3
2016,8,1641.1,6
2016,9,1998.7599999999998,1
2016,10,1836.58,2
2016,1,1744.3999999999999,5
2016,2,1786.3200000000002,3
2016,3,1758.6,4
2016,4,1888.4199999999998,2
2016,5,1675.7600000000002,6
2016,6,1502.48,10
2016,7,1602.1200000000001,7
2016,8,1515.88,8
2016,9,1507.26,9
2016,10,1953.8400000000001,1
2016,1,1855.62,3
2016,2,1657.02,7
2016,3,1960.0800000000002,1
2016,4,1549.2399999999998,8
2016,5,1548.6999999999998,9
2016,6,1775.9599999999998,5
2016,7,1916.96,2
2016,8,1440.98,10
2016,9,1708.5,6
2016,10,1827.3200000000002,4
2016,1,1478.6200000000001,9
2016,2,1932.58,1
2016,3,1929.7199999999998,2
2016,4,1380.96,10
2016,5,1867.44,3
2016,6,1667.28,6
2016,7,1770.0,5
2016,8,1780.1599999999999,4
2016,9,1498.06,8
2016,10,1561.62,7
2016,1,1707.5200000000004,3
2016,2,1484.8000000000002,9
2016,3,1677.16,5
2016,4,1587.18,7
2016,5,1660.68,6
2016,6,1818.2599999999998,2
2016,7,1373.88,10
2016,8,1685.7199999999998,4
2016,9,1868.32,1
2016,10,1510.7,8
2016,1,1770.3600000000001,4
2016,2,1826.88,3
2016,3,1654.8199999999997,6
2016,4,1466.88,9
2016,5,1470.6,8
2016,6,1374.5200000000002,10
2016,7,2107.98,1
2016,8,1916.42,2
2016,9,1608.2199999999998,7
2016,10,1748.3,5
2016,1,1438.9,9
2016,2,1480.8,8
2016,3,1785.3799999999999,5
2016,4,1877.08,1
2016,5,1802.42,4
2016,6,1622.6,6
2016,7,1865.3200000000002,2
2016,8,1566.98,7
2016,9,1405.56,10
2016,10,1864.8199999999997,3
2016,1,1682.4,8
2016,2,1566.92,10
2016,3,1714.3599999999997,6
2016,4,1703.38,7
2016,5,1795.3799999999999,2
2016,6,1760.5200000000002,4
2016,7,1727.6800000000003,5
2016,8,1581.08,9
2016,9,1762.0800000000002,3
2016,10,1899.12,1
2016,1,1441.46,10
2016,2,1584.32,8
2016,3,1673.7200000000003,3
2016,4,2045.02,1
2016,5,1470.4799999999998,9
2016,6,1670.7399999999998,4
2016,7,1632.24,6
2016,8,1779.6599999999999,2
2016,9,1617.0,7
2016,10,1632.38,5
2016,1,1190.8600000000001,10
2016,2,1725.7200000000003,4
2016,3,1844.52,2
2016,4,1574.88,8
2016,5,1422.6000000000001,9
2016,6,1825.58,3
2016,7,1718.1799999999998,5
2016,8,1679.1999999999998,6
2016,9,1582.12,7
2016,10,1891.92,1
2016,1,1785.78,4
2016,2,1767.42,5
2016,3,1695.84,7
2016,4,1604.7,8
2016,5,1502.52,10
2016,6,1896.92,2
2016,7,1588.28,9
2016,8,1752.46,6
2016,9,1806.46,3
2016,10,1932.8200000000002,1
2016,1,1809.2799999999997,1
2016,2,1415.44,10
2016,3,1669.28,5
2016,4,1622.44,7
2016,5,1499.1,9
2016,6,1629.5600000000002,6
2016,7,1804.9199999999998,2
2016,8,1596.02,8
2016,9,1730.48,3
2016,10,1694.96,4
2016,1,1681.48,6
2016,2,1798.9199999999998,2
2016,3,1349.8,10
2016,4,1618.6799999999998,7
2016,5,1733.16,4
2016,6,1814.7,1
2016,7,1683.1599999999999,5
2016,8,1550.62,9
2016,9,1736.1200000000001,3
2016,10,1560.18,8
2016,1,1679.0800000000002,5
2016,2,1566.98,9
2016,3,1773.12,2
2016,4,1686.1799999999998,4
2016,5,1583.3600000000001,8
2016,6,1589.76,7
2016,7,1621.6999999999998,6
2016,8,1759.48,3
2016,9,1563.22,10
2016,10,1904.42,1
2016,1,1729.62,5
2016,2,1978.8799999999999,1
2016,3,1691.4199999999998,7
2016,4,1318.06,9
2016,5,1248.7,10
2016,6,1790.48,2
2016,7,1752.96,4
2016,8,1690.24,8
2016,9,1701.0800000000002,6
2016,10,1787.3000000000002,3
2016,1,1687.7800000000002,5
2016,2,1495.08,9
2016,3,1646.48,6
2016,4,1936.28,1
2016,5,1445.52,10
2016,6,1849.56,2
2016,7,1830.4599999999998,4
2016,8,1609.1599999999999,7
2016,9,1586.2,8
2016,10,1836.32,3
2016,1,1770.28,3
2016,2,1802.9199999999998,2
2016,3,1609.2800000000002,8
2016,4,1684.62,4
2016,5,1622.18,6
2016,6,1663.9,5
2016,7,1844.1000000000001,1
2016,8,1617.56,7
2016,9,1599.2199999999998,9
2016,10,1523.12,10
2016,1,1659.2799999999997,6
2016,2,1612.28,7
2016,3,1852.1799999999998,2
2016,4,1843.8400000000001,3
2016,5,1401.0,10
2016,6,2156.1600000000003,1
2016,7,1734.12,5
2016,8,1756.52,4
2016,9,1553.18,8
2016,10,1434.1600000000003,9
2016,1,1665.26,6
2016,2,1419.18,9
2016,3,1403.68,10
2016,4,1915.16,2
2016,5,1677.62,5
2016,6,1460.78,7
2016,7,1944.9199999999996,1
2016,8,1905.1200000000001,3
2016,9,1799.28,4
2016,10,1435.3999999999999,8
2016,1,1646.52,5
2016,2,1581.7799999999997,6
2016,3,1705.92,4
2016,4,1578.76,7
2016,5,1492.1399999999999,9
2016,6,1758.8399999999997,3
2016,7,2165.62,1
2016,8,1566.2599999999998,8
2016,9,1834.2000000000003,2
2016,10,1338.48,10
2016,1,2006.1399999999999,1
2016,2,1633.02,6
2016,3,1875.1399999999999,2
2016,4,1753.8799999999997,4
2016,5,1381.5800000000002,10
2016,6,1847.12,3
2016,7,1740.8200000000002,5
2016,8,1548.26,8
2016,9,1545.1000000000001,9
2016,10,1563.8799999999999,7
2016,1,1474.76,8
2016,2,1685.42,5
2016,3,1680.66,6
2016,4,1583.7199999999998,7
2016,5,1920.9,1
2016,6,1787.5,4
2016,7,1887.98,2
2016,8,1392.3,10
2016,9,1405.78,9
2016,10,1789.12,3
2016,1,1614.2800000000002,7
2016,2,1338.08,10
2016,3,1812.12,3
2016,4,1666.38,5
2016,5,1622.64,6
2016,6,1982.1799999999998,1
2016,7,1578.46,8
2016,8,1801.7600000000002,4
2016,9,1561.6,9
2016,10,1909.0400000000002,2
2016,1,2002.1200000000001,1
2016,2,1548.1799999999998,8
2016,3,1751.92,5
2016,4,1334.6200000000001,10
2016,5,1426.88,9
2016,6,1946.3400000000001,2
2016,7,1851.48,4
2016,8,1873.76,3
2016,9,1588.7800000000002,7
2016,10,1612.5,6
2016,1,1507.6599999999999,10
2016,2,1846.48,2
2016,3,1678.32,4
2016,4,1701.42,3
2016,5,1651.88,7
2016,6,1630.96,9
2016,7,1879.98,1
2016,8,1676.8400000000001,5
2016,9,1657.6,6
2016,10,1631.2199999999998,8
2016,1,1483.1999999999998,9
2016,2,1631.52,6
2016,3,1866.02,2
2016,4,1738.84,5
2016,5,1790.12,4
2016,6,1793.58,3
2016,7,1559.7000000000003,8
2016,8,1402.78,10
2016,9,1891.0,1
2016,10,1603.36,7
2016,1,1842.08,2
2016,2,1580.08,7
2016,3,1529.4,8
2016,4,1506.7399999999998,9
2016,5,1864.2199999999998,1
2016,6,1479.3200000000002,10
2016,7,1665.7399999999998,6
2016,8,1834.8999999999999,3
2016,9,1736.1799999999998,4
2016,10,1670.42,5
2016,1,1855.4199999999998,1
2016,2,1828.08,2
2016,3,1597.5,8
2016,4,1608.98,7
2016,5,1672.2599999999998,5
2016,6,1672.04,6
2016,7,1471.7,10
2016,8,1759.92,4
2016,9,1792.52,3
2016,10,1587.6,9
2016,1,1649.18,5
2016,2,1769.0,3
2016,3,1830.12,2
2016,4,1624.54,6
2016,5,1713.7999999999997,4
2016,6,1619.2800000000002,7
2016,7,1856.8599999999997,1
2016,8,1605.12,8
2016,9,1553.6799999999998,9
2016,10,1445.3,10
2016,1,1801.3799999999999,2
2016,2,1723.8,4
2016,3,1666.2800000000002,6
2016,4,1496.12,10
2016,5,1908.12,1
2016,6,1733.6599999999999,3
2016,7,1641.9,8
2016,8,1542.6799999999998,9
2016,9,1680.66,5
2016,10,1653.54,7
2016,1,1612.28,8
2016,2,1702.7199999999998,5
2016,3,1687.52,6
2016,4,1438.1000000000001,10
2016,5,1712.2199999999998,4
2016,6,1997.66,1
2016,7,1581.7,9
2016,8,1844.3799999999999,2
2016,9,1634.3600000000001,7
2016,10,1822.04,3
2016,1,1489.8200000000002,8
2016,2,1800.72,4
2016,3,1853.38,3
2016,4,1660.04,7
2016,5,1758.96,5
2016,6,1473.9399999999998,9
2016,7,1689.3199999999997,6
2016,8,2035.6799999999998,1
2016,9,1889.0600000000002,2
2016,10,1205.26,10
2016,1,1749.62,5
2016,2,1787.2399999999998,2
2016,3,1591.28,8
2016,4,1806.12,1
2016,5,1655.58,6
2016,6,1545.92,9
2016,7,1538.48,10
2016,8,1762.1,4
2016,9,1783.96,3
2016,10,1633.1,7
2016,1,1699.58,5
2016,2,1809.98,3
2016,3,1681.2200000000003,6
2016,4,1640.6399999999999,7
2016,5,1599.08,8
2016,6,1741.72,4
2016,7,1374.5,9
2016,8,1860.3799999999999,2
2016,9,1366.8600000000001,10
2016,10,1879.2599999999998,1
2016,1,1568.7800000000002,6
2016,2,1743.7199999999998,4
2016,3,1405.5,9
2016,4,1567.4,7
2016,5,1537.98,8
2016,6,1651.6,5
2016,7,1760.3199999999997,3
2016,8,1372.52,10
2016,9,2105.9400000000005,1
2016,10,1764.1999999999998,2
2016,1,1849.8200000000002,2
2016,2,2007.88,1
2016,3,1550.3600000000001,7
2016,4,1841.62,3
2016,5,1543.96,8
2016,6,1663.18,5
2016,7,1648.36,6
2016,8,1794.7400000000002,4
2016,9,1474.48,9
2016,10,1425.3799999999999,10
2016,1,1835.1799999999998,3
2016,2,1526.8400000000001,9
2016,3,1634.2599999999998,6
2016,4,1912.2199999999998,2
2016,5,1602.4,7
2016,6,1577.04,8
2016,7,1490.02,10
2016,8,1719.8199999999997,4
2016,9,2089.7200000000003,1
2016,10,1710.1599999999999,5
2016,1,1664.52,5
2016,2,1392.6399999999999,10
2016,3,2027.6799999999998,1
2016,4,1658.4199999999996,6
2016,5,1704.9,4
2016,6,1629.58,8
2016,7,1608.2599999999998,9
2016,8,1654.8799999999999,7
2016,9,1733.2,3
2016,10,1740.48,2
2016,1,1741.82,4
2016,2,1895.6599999999999,1
2016,3,1591.1799999999998,8
2016,4,1697.3599999999997,6
2016,5,1455.28,10
2016,6,1524.18,9
2016,7,1642.8200000000002,7
2016,8,1818.6999999999998,3
2016,9,1837.12,2
2016,10,1730.16,5
2016,1,1383.0199999999998,10
2016,2,1773.6399999999999,5
2016,3,1834.8799999999999,2
2016,4,1714.3200000000002,6
2016,5,1800.8799999999999,4
2016,6,1609.28,8
2016,7,1656.3200000000002,7
2016,8,1845.28,1
2016,9,1827.3200000000002,3
2016,10,1570.6999999999998,9
2016,1,1664.52,6
2016,2,1546.9599999999998,8
2016,3,1793.3,2
2016,4,1687.38,4
2016,5,1496.94,10
2016,6,1988.88,1
2016,7,1683.1799999999998,5
2016,8,1754.02,3
2016,9,1573.8399999999997,7
2016,10,1536.62,9
2016,1,1717.3,3
2016,2,1696.2399999999998,6
2016,3,1599.02,8
2016,4,1559.78,10
2016,5,1712.96,4
2016,6,1568.08,9
2016,7,2076.7200000000003,1
2016,8,1710.0,5
2016,9,1670.94,7
2016,10,1843.4799999999998,2
2016,1,1422.8600000000001,10
2016,2,1783.98,3
2016,3,1700.1799999999998,5
2016,4,1531.2399999999998,8
2016,5,1485.7000000000003,9
2016,6,1653.9199999999998,6
2016,7,1729.3199999999997,4
2016,8,1615.7,7
2016,9,1844.3199999999997,2
2016,10,2089.88,1
2016,1,1673.62,6
2016,2,1884.3600000000001,1
2016,3,1871.96,2
2016,4,1572.0199999999998,9
2016,5,1776.74,4
2016,6,1486.5,10
2016,7,1648.68,7
2016,8,1644.94,8
2016,9,1811.48,3
2016,10,1707.9,5
2016,1,1419.38,9
2016,2,1473.02,6
2016,3,2086.98,1
2016,4,1950.02,2
2016,5,1318.5,10
2016,6,1835.3000000000002,3
2016,7,1446.8000000000002,7
2016,8,1819.0799999999997,4
2016,9,1770.2200000000003,5
2016,10,1423.5,8
2016,1,1393.7000000000003,10
2016,2,1874.56,2
2016,3,1806.52,4
2016,4,1583.98,7
2016,5,1838.88,3
2016,6,1941.46,1
2016,7,1583.52,8
2016,8,1550.7600000000002,9
2016,9,1685.3200000000002,6
2016,10,1741.3799999999999,5
2016,1,1795.2799999999997,3
2016,2,1777.62,4
2016,3,1488.6999999999998,9
2016,4,1761.78,5
2016,5,1821.04,2
2016,6,1629.12,7
2016,7,1550.7999999999997,8
2016,8,1701.8600000000001,6
2016,9,1382.5,10
2016,10,1843.92,1
2016,1,1790.9799999999998,3
2016,2,1669.52,5
2016,3,1585.6200000000001,8
2016,4,1477.0,9
2016,5,1870.6200000000001,2
2016,6,1465.1999999999998,10
2016,7,1628.46,7
2016,8,1671.08,4
2016,9,1877.1400000000003,1
2016,10,1657.38,6
2016,1,2011.7399999999998,1
2016,2,1718.3799999999999,4
2016,3,1463.36,10
2016,4,1851.88,2
2016,5,1695.78,5
2016,6,1612.9999999999998,7
2016,7,1550.5,9
2016,8,1604.52,8
2016,9,1631.8200000000002,6
2016,10,1763.56,3
2016,1,1744.62,4
2016,2,1912.32,1
2016,3,1722.04,7
2016,4,1554.48,10
2016,5,1748.3799999999999,3
2016,6,1640.26,8
2016,7,1728.1,5
2016,8,1789.52,2
2016,9,1581.48,9
2016,10,1724.26,6
2016,1,1671.76,8
2016,2,1704.42,6
