pos,feature,label,solo,marginal,auc_base,auc_full,n
QB,p1_rush_att_pg,rush attempts per game (last yr),0.6694805194805196,-0.0012987012987012436,0.709577922077922,0.6958603896103897,324
QB,p1_epa_per_dropback,EPA per dropback (last yr),0.644521103896104,0.001542207792207817,0.709577922077922,0.6958603896103897,324
QB,p1_pass_td_rate,pass TD rate (last yr),0.6091314935064935,-0.01298701298701288,0.709577922077922,0.6958603896103897,324
QB,p1_dropbacks,dropbacks (last yr),0.6061688311688311,0.00032467532467539417,0.709577922077922,0.6958603896103897,324
QB,p1_ppg_shrunk,points per game (shrunk) (last yr),0.7141639610389611,-0.006655844155844193,0.709577922077922,0.6958603896103897,324
QB,p1_games,games played (last yr),0.5948051948051948,-0.0004870129870129247,0.709577922077922,0.6958603896103897,324
QB,p2_rush_att_pg,rush attempts per game (two yrs ago),0.6366071428571428,-0.013149350649350633,0.709577922077922,0.6958603896103897,324
QB,p2_epa_per_dropback,EPA per dropback (two yrs ago),0.6146915584415585,-0.003084415584415523,0.709577922077922,0.6958603896103897,324
QB,p2_pass_td_rate,pass TD rate (two yrs ago),0.621387987012987,-0.00551948051948048,0.709577922077922,0.6958603896103897,324
QB,p2_dropbacks,dropbacks (two yrs ago),0.5939123376623378,-0.00275974025974024,0.709577922077922,0.6958603896103897,324
QB,p2_ppg_shrunk,points per game (shrunk) (two yrs ago),0.7361201298701299,0.014123376623376704,0.709577922077922,0.6958603896103897,324
QB,p2_games,games played (two yrs ago),0.5683847402597403,-0.002678571428571308,0.709577922077922,0.6958603896103897,324
QB,age,age (),0.5443181818181819,-0.005438311688311548,0.709577922077922,0.6958603896103897,324
QB,nt_team_scoring_rank,team scoring rank (),0.5933847402597402,-0.003490259740259738,0.709577922077922,0.6958603896103897,324
QB,nt_team_qb_epa_rank,team QB EPA rank (),0.5909496753246753,-0.003977272727272663,0.709577922077922,0.6958603896103897,324
QB,best_rank_prior,career-best finish so far (),0.6767045454545455,-0.004951298701298623,0.709577922077922,0.6958603896103897,324
QB,yrs_since_top12,years since a top-12 (),0.5448051948051948,-0.00827922077922072,0.709577922077922,0.6958603896103897,324
QB,chg_team,changed teams (),0.5816152597402597,0.025081168831168843,0.709577922077922,0.6958603896103897,324
QB,chg_coach,changed head coach (),0.4741071428571429,-0.010389610389610282,0.709577922077922,0.6958603896103897,324
QB,qb_epa_gain,moved to a better QB room (),0.4758522727272727,-0.00040584415584410394,0.709577922077922,0.6958603896103897,324
QB,qb_trend,own team QB play improving (),0.35990259740259734,-0.002759740259740129,0.709577922077922,0.6958603896103897,324
QB,p1_missed,missed most of last year (last yr),0.48831168831168836,-0.009902597402597357,0.709577922077922,0.6958603896103897,324
QB,draft_round,draft round (),0.5642857142857143,-0.004870129870129913,0.709577922077922,0.6958603896103897,324
RB,p1_weighted_opps_pg,weighted opportunities/gm (last yr),0.8434759453222084,-0.0025208592224391646,0.8596840049707083,0.8355405645304456,698
RB,p1_opportunity_share,opportunity share (last yr),0.8274631635007988,-0.00039055565418066873,0.8596840049707083,0.8355405645304456,698
RB,p1_target_share,target share (last yr),0.7874844665364813,-0.0024498491034973258,0.8596840049707083,0.8355405645304456,698
RB,p1_rz_carries_share,red-zone carry share (last yr),0.7233800816616368,-0.0020237883898456266,0.8596840049707083,0.8355405645304456,698
RB,p1_snap_pct,snap rate (last yr),0.823788389845553,-0.0016332327356648468,0.8596840049707083,0.8355405645304456,698
RB,p1_ppg_shrunk,points per game (shrunk) (last yr),0.8625954198473282,0.005538789277471978,0.8596840049707083,0.8355405645304456,698
RB,p1_games,games played (last yr),0.521054500266288,-0.0019527782709036767,0.8596840049707083,0.8355405645304456,698
RB,p2_weighted_opps_pg,weighted opportunities/gm (two yrs ago),0.7231137937156045,-0.0011716669625422282,0.8596840049707083,0.8355405645304456,698
RB,p2_opportunity_share,opportunity share (two yrs ago),0.7222439197585656,0.0017397479140777161,0.8596840049707083,0.8355405645304456,698
RB,p2_target_share,target share (two yrs ago),0.6393041008343688,0.00010651517841286928,0.8596840049707083,0.8355405645304456,698
RB,p2_rz_carries_share,red-zone carry share (two yrs ago),0.6356470797088585,-0.002627374400852145,0.8596840049707083,0.8355405645304456,698
RB,p2_snap_pct,snap rate (two yrs ago),0.7020592934493165,0.0006035860110065183,0.8596840049707083,0.8355405645304456,698
RB,p2_ppg_shrunk,points per game (shrunk) (two yrs ago),0.7251908396946565,-0.0017042428546067967,0.8596840049707083,0.8355405645304456,698
RB,p2_games,games played (two yrs ago),0.4981182318480384,-0.0013491922598970474,0.8596840049707083,0.8355405645304456,698
RB,age,age (),0.6479318302858158,0.005254748801704179,0.8596840049707083,0.8355405645304456,698
RB,nt_team_scoring_rank,team scoring rank (),0.5680099414166518,0.0006390910704775488,0.8596840049707083,0.8355405645304456,698
RB,nt_team_qb_epa_rank,team QB EPA rank (),0.6148233623291319,0.0008166163678323679,0.8596840049707083,0.8355405645304456,698
RB,best_rank_prior,career-best finish so far (),0.70291141487662,-0.0007101011894194986,0.8596840049707083,0.8355405645304456,698
RB,yrs_since_top12,years since a top-12 (),0.5847328244274809,-0.006319900585833538,0.8596840049707083,0.8355405645304456,698
RB,chg_team,changed teams (),0.5301615480205929,-0.007988638380969304,0.8596840049707083,0.8355405645304456,698
RB,chg_coach,changed head coach (),0.47706373158175036,-0.001988283330374596,0.8596840049707083,0.8355405645304456,698
RB,qb_epa_gain,moved to a better QB room (),0.429398189241967,-0.005325758920646351,0.8596840049707083,0.8355405645304456,698
RB,qb_trend,own team QB play improving (),0.5623113793715604,0.0001065151784129803,0.8596840049707083,0.8355405645304456,698
RB,p1_missed,missed most of last year (last yr),0.46264867743653465,-0.0011361619030711978,0.8596840049707083,0.8355405645304456,698
RB,draft_round,draft round (),0.7169536658973904,-0.0007456062488905291,0.8596840049707083,0.8355405645304456,698
WR,p1_target_share,target share (last yr),0.88043808328441,-8.097657752492715e-05,0.929145494665668,0.9255217928214264,1098
WR,p1_yprr_shrunk,yards per route (shrunk) (last yr),0.840283822904225,-0.00224710002631745,0.929145494665668,0.9255217928214264,1098
WR,p1_rz_targets_share,red-zone target share (last yr),0.7854221916310706,-0.0012146486628742403,0.929145494665668,0.9255217928214264,1098
WR,p1_air_yards_share,air yards share (last yr),0.8096544324554122,-0.0017005081280239143,0.929145494665668,0.9255217928214264,1098
WR,p1_ppg_shrunk,points per game (shrunk) (last yr),0.8919873676539061,0.0013563576735430294,0.929145494665668,0.9255217928214264,1098
WR,p1_snap_pct,snap rate (last yr),0.7873048970585258,-0.0008097657752494936,0.929145494665668,0.9255217928214264,1098
WR,p1_games,games played (last yr),0.6144502702593274,0.0004251270320060341,0.929145494665668,0.9255217928214264,1098
WR,p2_target_share,target share (two yrs ago),0.8535639816183168,0.0004048828876247468,0.929145494665668,0.9255217928214264,1098
WR,p2_yprr_shrunk,yards per route (shrunk) (two yrs ago),0.8521975018725834,-0.0047978622183533215,0.929145494665668,0.9255217928214264,1098
WR,p2_rz_targets_share,red-zone target share (two yrs ago),0.8081158774824382,-0.0006073243314371757,0.929145494665668,0.9255217928214264,1098
WR,p2_air_yards_share,air yards share (two yrs ago),0.7756746361115047,-0.0010729396522055623,0.929145494665668,0.9255217928214264,1098
WR,p2_ppg_shrunk,points per game (shrunk) (two yrs ago),0.8875032896734619,0.006295928902565029,0.929145494665668,0.9255217928214264,1098
WR,p2_snap_pct,snap rate (two yrs ago),0.7569083142700974,-0.00022268558819360518,0.929145494665668,0.9255217928214264,1098
WR,p2_games,games played (two yrs ago),0.6628945077636293,-0.0015183108285927727,0.929145494665668,0.9255217928214264,1098
WR,age,age (),0.5370164180010931,0.015426038018503174,0.929145494665668,0.9255217928214264,1098
WR,nt_team_scoring_rank,team scoring rank (),0.6096321638965929,0.004332246897584935,0.929145494665668,0.9255217928214264,1098
WR,nt_team_qb_epa_rank,team QB EPA rank (),0.562088790817256,-0.0020851468712674848,0.929145494665668,0.9255217928214264,1098
WR,p1_missed,missed most of last year (last yr),0.46198149685203554,0.008381075773832403,0.929145494665668,0.9255217928214264,1098
WR,best_rank_prior,career-best finish so far (),0.8354859606858716,-0.0018017288499301287,0.929145494665668,0.9255217928214264,1098
WR,yrs_since_top12,years since a top-12 (),0.7328683928173776,-0.0001619531550498543,0.929145494665668,0.9255217928214264,1098
WR,chg_team,changed teams (),0.5315909873069214,-0.0018422171386925923,0.929145494665668,0.9255217928214264,1098
WR,chg_coach,changed head coach (),0.46459299147721517,-0.0003441504544811069,0.929145494665668,0.9255217928214264,1098
WR,qb_epa_gain,moved to a better QB room (),0.520183411948094,0.0012348928072555276,0.929145494665668,0.9255217928214264,1098
WR,qb_trend,own team QB play improving (),0.4898070733040468,0.0028949126465170893,0.929145494665668,0.9255217928214264,1098
WR,draft_round,draft round (),0.6342186772476062,-0.0012146486628742403,0.929145494665668,0.9255217928214264,1098
TE,p1_target_share,target share (last yr),0.8744088281660536,0.0035908215098967577,0.8805832895428272,0.8683657383079348,563
TE,p1_yprr_shrunk,yards per route (shrunk) (last yr),0.8513312313890348,0.007313014538448126,0.8805832895428272,0.8683657383079348,563
TE,p1_rz_targets_share,red-zone target share (last yr),0.8068181818181819,-0.00030653354352772055,0.8805832895428272,0.8683657383079348,563
TE,p1_ppg_shrunk,points per game (shrunk) (last yr),0.8642494307234191,-0.003853564547206201,0.8805832895428272,0.8683657383079348,563
