position,mode,metric,label,direction,threshold,n_flagged,hits,per_season_flagged,precision,recall,base_rate,lift,raw_quantile,auc,family,circular
QB,profile_top5,team_ppg,Team points per game,>=,25.0,112,47,10.181818181818182,0.41964285714285715,0.8545454545454545,0.14945652173913043,2.807792207792208,25.14375,0.8953238454835899,Offense quality,True
QB,profile_top5,pass_td_rate,TD rate per attempt,>=,0.05,132,49,12.0,0.3712121212121212,0.8909090909090909,0.14945652173913043,2.4837465564738292,0.05048184818481841,0.8628812082486204,Passing scoring rate,True
QB,profile_top5,epa_per_dropback,EPA per dropback,>=,0.1,134,47,12.181818181818182,0.35074626865671643,0.8545454545454545,0.14945652173913043,2.3468113975576665,0.10426735189766641,0.852105721754284,Passing efficiency,False
QB,profile_top5,dropbacks,Dropbacks,>=,525.0,171,48,15.545454545454545,0.2807017543859649,0.8727272727272727,0.14945652173913043,1.8781499202551832,527.1,0.7886436247458611,Dropback volume,False
QB,profile_top5,rushing_yards,Rushing yards,>=,100.0,236,47,21.454545454545453,0.19915254237288135,0.8545454545454545,0.14945652173913043,1.3325115562403698,102.60000000000002,0.7515538774324717,Rushing volume,False
QB,profile_top5,rushing_tds,Rushing TDs,>=,1.0,276,50,25.09090909090909,0.18115942028985507,0.9090909090909091,0.14945652173913043,1.2121212121212122,1.0,0.7303514376996805,Rushing scores,False
QB,profile_top5,exp,Seasons of experience,>=,1.0,333,54,30.272727272727273,0.16216216216216217,0.9818181818181818,0.14945652173913043,1.0850122850122852,1.0,0.5073191983735115,Age / profile,False
RB,profile_top5,weighted_opps_pg,Weighted opportunities per game,>=,22.0,137,48,12.454545454545455,0.35036496350364965,0.8727272727272727,0.0686641697877653,5.1025879230258795,22.278823529411767,0.9487813794784304,Total volume,False
RB,profile_top5,snap_pct,Snap share,>=,0.59,173,47,15.727272727272727,0.27167630057803466,0.8545454545454545,0.0686641697877653,3.9565948502364683,0.592873949579832,0.9224835486229588,Field time,False
RB,profile_top5,rz_carries_share,Red-zone carry share,>=,0.46,189,46,17.181818181818183,0.24338624338624337,0.8363636363636363,0.0686641697877653,3.5445887445887445,0.4581575433911882,0.9093833780160858,Goal-line role,False
RB,profile_top5,target_share,Target share,>=,0.09,301,46,27.363636363636363,0.15282392026578073,0.8363636363636363,0.0686641697877653,2.2256720024161885,0.08921596278762994,0.8577991713380453,Passing-game role,False
RB,profile_top5,ypt_shrunk,Yards per target (shrunk),>=,5.5,556,52,50.54545454545455,0.09352517985611511,0.9454545454545454,0.0686641697877653,1.3620667102681492,5.7979257831357085,0.7547160614184742,Efficiency,False
